KIN,調性數字,調性,圖騰數字,圖騰,主印記,矩陣位置,KIN,波符,波符加印記,城堡,波符加印記城堡,銀河季節,波符加印記城堡銀河季節,諧波,密碼子,調性數字,調性,圖騰數字,圖騰,星際原型,BMU,行星,流,電路,說明,家族,對應脈輪,電路,電路說明
124,7,共振,4,黃種子,共振黃種子,V07:H04,124,白鏡波符,白鏡波符共振黃種子,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符共振黃種子,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符共振黃種子,"諧波31 
共鳴的輸入，賦予協調的盛開","第1股 樹之道
再次凝聽
04山水蒙卦",,,,,,,,,,,,,,
125,8,銀河星系,5,紅蛇,銀河星系紅蛇,V07:H05,125,白鏡波符,白鏡波符銀河星系紅蛇,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符銀河星系紅蛇,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符銀河星系紅蛇,"諧波32
光譜的儲存，記得解脫的優雅","第2股 舉止之道
同心協力之眾人
13天火同人卦",,,,,,,,,,,,,,
126,9,太陽,6,白世界橋,太陽白世界橋,V07:H06,126,白鏡波符,白鏡波符太陽白世界橋,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符太陽白世界橋,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符太陽白世界橋,"諧波32
光譜的儲存，記得解脫的優雅","第2股 舉止之道
同心協力之眾人
13天火同人卦",,,,,,,,,,,,,,
127,10,行星,7,藍手,行星藍手,V07:H07,127,白鏡波符,白鏡波符行星藍手,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符行星藍手,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符行星藍手,"諧波32
光譜的儲存，記得解脫的優雅","第2股 舉止之道
同心協力之眾人
13天火同人卦",,,,,,,,,,,,,,
128,11,光譜,8,黃星星,光譜黃星星,V07:H08,128,白鏡波符,白鏡波符光譜黃星星,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符光譜黃星星,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符光譜黃星星,"諧波32
光譜的儲存，記得解脫的優雅","第2股 舉止之道
同心協力之眾人
13天火同人卦",,,,,,,,,,,,,,
129,12,水晶,9,紅月,水晶紅月,V07:H09,129,白鏡波符,白鏡波符水晶紅月,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符水晶紅月,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符水晶紅月,"諧波33
月亮的作用，構建挑戰的自由意志",,,,,,,,,,,,,,,
130,13,宇宙,10,白狗,宇宙白狗,V07:H10,130,白鏡波符,白鏡波符宇宙白狗,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符宇宙白狗,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符宇宙白狗,"諧波33
月亮的作用，構建挑戰的自由意志",,,,,,,,,,,,,,,
131,1,磁性,11,藍猴,磁性藍猴,V07:H11,131,藍猴波符,藍猴波符磁性藍猴,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符磁性藍猴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符磁性藍猴,"諧波33
月亮的作用，構建挑戰的自由意志",,,,,,,,,,,,,,,
132,2,月亮,12,黃人,月亮黃人,V07:H12,132,藍猴波符,藍猴波符月亮黃人,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符月亮黃人,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符月亮黃人,"諧波33
月亮的作用，構建挑戰的自由意志",,,,,,,,,,,,,,,
133,3,電力,13,紅天行者,電力紅天行者,V07:H13,133,藍猴波符,藍猴波符電力紅天行者,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符電力紅天行者,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符電力紅天行者,"諧波34
韻律的輸出，表現均衡的智能","第1股 樹之道
眾人之力
07地水師卦",,,,,,,,,,,,,,
134,4,自我存在,14,白巫師,自我存在白巫師,V07:H14,134,藍猴波符,藍猴波符自我存在白巫師,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符自我存在白巫師,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符自我存在白巫師,"諧波34
韻律的輸出，表現均衡的智能","第1股 樹之道
眾人之力
07地水師卦",,,,,,,,,,,,,,
135,5,超頻,15,藍鷹,超頻藍鷹,V07:H15,135,藍猴波符,藍猴波符超頻藍鷹,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符超頻藍鷹,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符超頻藍鷹,"諧波34
韻律的輸出，表現均衡的智能","第1股 樹之道
眾人之力
07地水師卦",,,,,,,,,,,,,,
136,6,韻律,16,黃戰士,韻律黃戰士,V07:H16,136,藍猴波符,藍猴波符韻律黃戰士,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符韻律黃戰士,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符韻律黃戰士,"諧波34
韻律的輸出，表現均衡的智能","第1股 樹之道
眾人之力
07地水師卦",,,,,,,,,,,,,,
137,7,共振,17,紅地球,共振紅地球,V07:H17,137,藍猴波符,藍猴波符共振紅地球,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符共振紅地球,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符共振紅地球,"諧波35
行星的母體矩陣，自我調整顯化的宇宙之火","第7股 心電感應之道
時間之革命
49澤火革卦",,,,,,,,,,,,,,
138,8,銀河星系,18,白鏡,銀河星系白鏡,V07:H18,138,藍猴波符,藍猴波符銀河星系白鏡,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符銀河星系白鏡,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符銀河星系白鏡,"諧波35
行星的母體矩陣，自我調整顯化的宇宙之火","第7股 心電感應之道
時間之革命
49澤火革卦",,,,,,,,,,,,,,
139,9,太陽,19,藍風暴,太陽藍風暴,V07:H19,139,藍猴波符,藍猴波符太陽藍風暴,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符太陽藍風暴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符太陽藍風暴,"諧波35
行星的母體矩陣，自我調整顯化的宇宙之火","第7股 心電感應之道
時間之革命
49澤火革卦",,,,,,,,,,,,,,
140,10,行星,20,黃太陽,行星黃太陽,V07:H20,140,藍猴波符,藍猴波符行星黃太陽,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符行星黃太陽,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符行星黃太陽,"諧波35
行星的母體矩陣，自我調整顯化的宇宙之火","第7股 心電感應之道
時間之革命
49澤火革卦",,,,,,,,,,,,,,
141,11,光譜,1,紅龍,光譜紅龍,V08:H01,141,藍猴波符,藍猴波符光譜紅龍,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符光譜紅龍,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符光譜紅龍,"諧波36
磁性的輸入，賦予目的的盛開","第5股 第五不可抑制之道
奉獻
33天山遯卦",,,,,,,,,,,,,,
142,12,水晶,2,白風,水晶白風,V08:H02,142,藍猴波符,藍猴波符水晶白風,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符水晶白風,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符水晶白風,"諧波36
磁性的輸入，賦予目的的盛開","第5股 第五不可抑制之道
奉獻
33天山遯卦",,,,,,,,,,,,,,
143,13,宇宙,3,藍夜,宇宙藍夜,V08:H03,143,藍猴波符,藍猴波符宇宙藍夜,藍色西方蛻變城堡,藍色西方蛻變城堡藍猴波符宇宙藍夜,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符宇宙藍夜,"諧波36
磁性的輸入，賦予目的的盛開","第5股 第五不可抑制之道
奉獻
33天山遯卦",,,,,,,,,,,,,,
144,1,磁性,4,黃種子,磁性黃種子,V08:H04,144,黃種子波符,黃種子波符磁性黃種子,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符磁性黃種子,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符磁性黃種子,"諧波36
磁性的輸入，賦予目的的盛開","第5股 第五不可抑制之道
奉獻
33天山遯卦",,,,,,,,,,,,,,
145,2,月亮,5,紅蛇,月亮紅蛇,V08:H05,145,黃種子波符,黃種子波符月亮紅蛇,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符月亮紅蛇,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符月亮紅蛇,"諧波37 
超頻的儲存，記得光芒四射的優雅","第4股 第四超越之道
視野/太陽 水晶
30離為火卦",,,,,,,,,,,,,,
146,3,電力,6,白世界橋,電力白世界橋,V08:H06,146,黃種子波符,黃種子波符電力白世界橋,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符電力白世界橋,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符電力白世界橋,"諧波37 
超頻的儲存，記得光芒四射的優雅","第4股 第四超越之道
視野/太陽 水晶
30離為火卦",,,,,,,,,,,,,,
147,4,自我存在,7,藍手,自我存在藍手,V08:H07,147,黃種子波符,黃種子波符自我存在藍手,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符自我存在藍手,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符自我存在藍手,"諧波37 
超頻的儲存，記得光芒四射的優雅","第4股 第四超越之道
視野/太陽 水晶
30離為火卦",,,,,,,,,,,,,,
148,5,超頻,8,黃星星,超頻黃星星,V08:H08,148,黃種子波符,黃種子波符超頻黃星星,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符超頻黃星星,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符超頻黃星星,"諧波37 
超頻的儲存，記得光芒四射的優雅","第4股 第四超越之道
視野/太陽 水晶
30離為火卦",,,,,,,,,,,,,,
149,6,韻律,9,紅月,韻律紅月,V08:H09,149,黃種子波符,黃種子波符韻律紅月,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符韻律紅月,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符韻律紅月,"諧波38
太陽的作用，構建意圖的自由意志","第4股 第四超越之道
視野/太陽 水晶
離為火卦",,,,,,,,,,,,,,
150,7,共振,10,白狗,共振白狗,V08:H10,150,黃種子波符,黃種子波符共振白狗,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符共振白狗,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符共振白狗,"諧波38
太陽的作用，構建意圖的自由意志","第4股 第四超越之道
心智引發力
31澤山咸卦",,,,,,,,,,,,,,
151,8,銀河星系,11,藍猴,銀河星系藍猴,V08:H11,151,黃種子波符,黃種子波符銀河星系藍猴,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符銀河星系藍猴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符銀河星系藍猴,"諧波38
太陽的作用，構建意圖的自由意志","第4股 第四超越之道
心智引發力
31澤山咸卦",,,,,,,,,,,,,,
152,9,太陽,12,黃人,太陽黃人,V08:H12,152,黃種子波符,黃種子波符太陽黃人,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符太陽黃人,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符太陽黃人,"諧波38
太陽的作用，構建意圖的自由意志","第4股 第四超越之道
心智引發力
31澤山咸卦",,,,,,,,,,,,,,
153,10,行星,13,紅天行者,行星紅天行者,V08:H13,153,黃種子波符,黃種子波符行星紅天行者,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符行星紅天行者,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符行星紅天行者,"諧波39
宇宙的輸出，表現存在的智能","第7股 心電感應之道
智慧喚醒了
55雷火豐卦",,,,,,,,,,,,,,
154,11,光譜,14,白巫師,光譜白巫師,V08:H14,154,黃種子波符,黃種子波符光譜白巫師,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符光譜白巫師,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符光譜白巫師,"諧波39
宇宙的輸出，表現存在的智能","第7股 心電感應之道
智慧喚醒了
55雷火豐卦",,,,,,,,,,,,,,
155,12,水晶,15,藍鷹,水晶藍鷹,V08:H15,155,黃種子波符,黃種子波符水晶藍鷹,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符水晶藍鷹,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符水晶藍鷹,"諧波39
宇宙的輸出，表現存在的智能","第7股 心電感應之道
智慧喚醒了
55雷火豐卦",,,,,,,,,,,,,,
156,13,宇宙,16,黃戰士,宇宙黃戰士,V08:H16,156,黃種子波符,黃種子波符宇宙黃戰士,藍色西方蛻變城堡,藍色西方蛻變城堡黃種子波符宇宙黃戰士,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡黃種子波符宇宙黃戰士,"諧波39
宇宙的輸出，表現存在的智能","第7股 心電感應之道
智慧喚醒了
55雷火豐卦",,,,,,,,,,,,,,
157,1,磁性,17,紅地球,磁性紅地球,V08:H17,157,紅地球波符,紅地球波符磁性紅地球,黃色南方給予城堡,黃色南方給予城堡紅地球波符磁性紅地球,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符磁性紅地球,"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火","第7股 心電感應之道
領航
56火山旅卦",,,,,,,,,,,,,,
158,2,月亮,18,白鏡,月亮白鏡,V08:H18,158,紅地球波符,紅地球波符月亮白鏡,黃色南方給予城堡,黃色南方給予城堡紅地球波符月亮白鏡,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符月亮白鏡,"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火","第7股 心電感應之道
領航
56火山旅卦",,,,,,,,,,,,,,
159,3,電力,19,藍風暴,電力藍風暴,V08:H19,159,紅地球波符,紅地球波符電力藍風暴,黃色南方給予城堡,黃色南方給予城堡紅地球波符電力藍風暴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符電力藍風暴,"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火","第7股 心電感應之道
領航
56火山旅卦",,,,,,,,,,,,,,
160,4,自我存在,20,黃太陽,自我存在黃太陽,V08:H20,160,紅地球波符,紅地球波符自我存在黃太陽,黃色南方給予城堡,黃色南方給予城堡紅地球波符自我存在黃太陽,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符自我存在黃太陽,"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火","第7股 心電感應之道
領航
56火山旅卦",,,,,,,,,,,,,,
161,5,超頻,1,紅龍,超頻紅龍,V09:H01,161,紅地球波符,紅地球波符超頻紅龍,黃色南方給予城堡,黃色南方給予城堡紅地球波符超頻紅龍,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符超頻紅龍,"諧波41
銀河星系的輸入，賦予完整的盛開","第5股 第五不可抑制之道
家的力量
37風火家人卦",,,,,,,,,,,,,,
162,6,韻律,2,白風,韻律白風,V09:H02,162,紅地球波符,紅地球波符韻律白風,黃色南方給予城堡,黃色南方給予城堡紅地球波符韻律白風,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符韻律白風,"諧波41
銀河星系的輸入，賦予完整的盛開","第5股 第五不可抑制之道
家的力量
37風火家人卦",,,,,,,,,,,,,,
163,7,共振,3,藍夜,共振藍夜,V09:H03,163,紅地球波符,紅地球波符共振藍夜,黃色南方給予城堡,黃色南方給予城堡紅地球波符共振藍夜,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符共振藍夜,"諧波41
銀河星系的輸入，賦予完整的盛開","第5股 第五不可抑制之道
家的力量
37風火家人卦",,,,,,,,,,,,,,
164,8,銀河星系,4,黃種子,銀河星系黃種子,V09:H04,164,紅地球波符,紅地球波符銀河星系黃種子,黃色南方給予城堡,黃色南方給予城堡紅地球波符銀河星系黃種子,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符銀河星系黃種子,"諧波41
銀河星系的輸入，賦予完整的盛開","第5股 第五不可抑制之道
家的力量
37風火家人卦",,,,,,,,,,,,,,
165,9,太陽,5,紅蛇,太陽紅蛇,V09:H05,165,紅地球波符,紅地球波符太陽紅蛇,黃色南方給予城堡,黃色南方給予城堡紅地球波符太陽紅蛇,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符太陽紅蛇,"諧波42
水晶的儲存，記得合作的優雅","第8股 銀河星系八度音階之道
內在時間
62雷山小過卦",,,,,,,,,,,,,,
166,10,行星,6,白世界橋,行星白世界橋,V09:H06,166,紅地球波符,紅地球波符行星白世界橋,黃色南方給予城堡,黃色南方給予城堡紅地球波符行星白世界橋,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符行星白世界橋,"諧波42
水晶的儲存，記得合作的優雅","第8股 銀河星系八度音階之道
內在時間
62雷山小過卦",,,,,,,,,,,,,,
167,11,光譜,7,藍手,光譜藍手,V09:H07,167,紅地球波符,紅地球波符光譜藍手,黃色南方給予城堡,黃色南方給予城堡紅地球波符光譜藍手,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符光譜藍手,"諧波42
水晶的儲存，記得合作的優雅","第8股 銀河星系八度音階之道
內在時間
62雷山小過卦",,,,,,,,,,,,,,
168,12,水晶,8,黃星星,水晶黃星星,V09:H08,168,紅地球波符,紅地球波符水晶黃星星,黃色南方給予城堡,黃色南方給予城堡紅地球波符水晶黃星星,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符水晶黃星星,"諧波42
水晶的儲存，記得合作的優雅","第8股 銀河星系八度音階之道
內在時間
62雷山小過卦",,,,,,,,,,,,,,
169,13,宇宙,9,紅月,宇宙紅月,V09:H09,169,紅地球波符,紅地球波符宇宙紅月,黃色南方給予城堡,黃色南方給予城堡紅地球波符宇宙紅月,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符宇宙紅月,"諧波43
電力的作用，構建服務的自由意志","第8股 銀河星系八度音階之道
貫徹
63水火既濟卦",,,,,,,,,,,,,,
170,1,磁性,10,白狗,磁性白狗,V09:H10,170,白狗波符,白狗波符磁性白狗,黃色南方給予城堡,黃色南方給予城堡白狗波符磁性白狗,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符磁性白狗,"諧波43
電力的作用，構建服務的自由意志","第8股 銀河星系八度音階之道
貫徹
63水火既濟卦",,,,,,,,,,,,,,
171,2,月亮,11,藍猴,月亮藍猴,V09:H11,171,白狗波符,白狗波符月亮藍猴,黃色南方給予城堡,黃色南方給予城堡白狗波符月亮藍猴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符月亮藍猴,"諧波43
電力的作用，構建服務的自由意志","第8股 銀河星系八度音階之道
貫徹
63水火既濟卦",,,,,,,,,,,,,,
172,3,電力,12,黃人,電力黃人,V09:H12,172,白狗波符,白狗波符電力黃人,黃色南方給予城堡,黃色南方給予城堡白狗波符電力黃人,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符電力黃人,"諧波43
電力的作用，構建服務的自由意志","第8股 銀河星系八度音階之道
貫徹
63水火既濟卦",,,,,,,,,,,,,,
173,4,自我存在,13,紅天行者,自我存在紅天行者,V09:H13,173,白狗波符,白狗波符自我存在紅天行者,黃色南方給予城堡,黃色南方給予城堡白狗波符自我存在紅天行者,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符自我存在紅天行者,"諧波44
共鳴的輸出，表現協調的智能","第7股 心電感應之道
進化
53風山漸卦",,,,,,,,,,,,,,
174,5,超頻,14,白巫師,超頻白巫師,V09:H14,174,白狗波符,白狗波符超頻白巫師,黃色南方給予城堡,黃色南方給予城堡白狗波符超頻白巫師,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符超頻白巫師,"諧波44
共鳴的輸出，表現協調的智能","第7股 心電感應之道
進化
53風山漸卦",,,,,,,,,,,,,,
175,6,韻律,15,藍鷹,韻律藍鷹,V09:H15,175,白狗波符,白狗波符韻律藍鷹,黃色南方給予城堡,黃色南方給予城堡白狗波符韻律藍鷹,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符韻律藍鷹,"諧波44
共鳴的輸出，表現協調的智能","第7股 心電感應之道
進化
53風山漸卦",,,,,,,,,,,,,,
176,7,共振,16,黃戰士,共振黃戰士,V09:H16,176,白狗波符,白狗波符共振黃戰士,黃色南方給予城堡,黃色南方給予城堡白狗波符共振黃戰士,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符共振黃戰士,"諧波44
共鳴的輸出，表現協調的智能","第7股 心電感應之道
進化
53風山漸卦",,,,,,,,,,,,,,
177,8,銀河星系,17,紅地球,銀河星系紅地球,V09:H17,177,白狗波符,白狗波符銀河星系紅地球,黃色南方給予城堡,黃色南方給予城堡白狗波符銀河星系紅地球,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符銀河星系紅地球,"諧波45
光譜的母體矩陣，自我調整解脫的宇宙之火","第3股 行使力量之道
視野之聖殿
22山火賁卦",,,,,,,,,,,,,,
178,9,太陽,18,白鏡,太陽白鏡,V09:H18,178,白狗波符,白狗波符太陽白鏡,黃色南方給予城堡,黃色南方給予城堡白狗波符太陽白鏡,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符太陽白鏡,"諧波45
光譜的母體矩陣，自我調整解脫的宇宙之火","第3股 行使力量之道
視野之聖殿
22山火賁卦",,,,,,,,,,,,,,
179,10,行星,19,藍風暴,行星藍風暴,V09:H19,179,白狗波符,白狗波符行星藍風暴,黃色南方給予城堡,黃色南方給予城堡白狗波符行星藍風暴,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符行星藍風暴,"諧波45
光譜的母體矩陣，自我調整解脫的宇宙之火","第3股 行使力量之道
視野之聖殿
22山火賁卦",,,,,,,,,,,,,,
180,11,光譜,20,黃太陽,光譜黃太陽,V09:H20,180,白狗波符,白狗波符光譜黃太陽,黃色南方給予城堡,黃色南方給予城堡白狗波符光譜黃太陽,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符光譜黃太陽,"諧波45
光譜的母體矩陣，自我調整解脫的宇宙之火","第3股 行使力量之道
視野之聖殿
22山火賁卦",,,,,,,,,,,,,,
181,12,水晶,1,紅龍,水晶紅龍,V10:H01,181,白狗波符,白狗波符水晶紅龍,黃色南方給予城堡,黃色南方給予城堡白狗波符水晶紅龍,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符水晶紅龍,"諧波46
月亮的輸入，賦予挑戰的盛開","第5股 第五不可抑制之道
心的自律
39水山蹇卦",,,,,,,,,,,,,,
182,13,宇宙,2,白風,宇宙白風,V10:H02,182,白狗波符,白狗波符宇宙白風,黃色南方給予城堡,黃色南方給予城堡白狗波符宇宙白風,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡白狗波符宇宙白風,"諧波46
月亮的輸入，賦予挑戰的盛開","第5股 第五不可抑制之道
心的自律
39水山蹇卦",,,,,,,,,,,,,,
183,1,磁性,3,藍夜,磁性藍夜,V10:H03,183,藍夜波符,藍夜波符磁性藍夜,黃色南方給予城堡,黃色南方給予城堡藍夜波符磁性藍夜,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡藍夜波符磁性藍夜,"諧波46
月亮的輸入，賦予挑戰的盛開","第5股 第五不可抑制之道
心的自律
39水山蹇卦",,,,,,,,,,,,,,
184,2,月亮,4,黃種子,月亮黃種子,V10:H04,184,藍夜波符,藍夜波符月亮黃種子,黃色南方給予城堡,黃色南方給予城堡藍夜波符月亮黃種子,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節黃色南方給予城堡藍夜波符月亮黃種子,"諧波46
月亮的輸入，賦予挑戰的盛開","第5股 第五不可抑制之道
心的自律
39水山蹇卦",,,,,,,,,,,,,,
185,3,電力,5,紅蛇,電力紅蛇,V10:H05,185,藍夜波符,藍夜波符電力紅蛇,黃色南方給予城堡,黃色南方給予城堡藍夜波符電力紅蛇,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符電力紅蛇,"諧波47
韻律的儲存，記得均衡的優雅","第5股 第五不可抑制之道
內在的光熱
36地火明夷卦",,,,,,,,,,,,,,
186,4,自我存在,6,白世界橋,自我存在白世界橋,V10:H06,186,藍夜波符,藍夜波符自我存在白世界橋,黃色南方給予城堡,黃色南方給予城堡藍夜波符自我存在白世界橋,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符自我存在白世界橋,"諧波47
韻律的儲存，記得均衡的優雅","第5股 第五不可抑制之道
內在的光熱
36地火明夷卦",,,,,,,,,,,,,,
187,5,超頻,7,藍手,超頻藍手,V10:H07,187,藍夜波符,藍夜波符超頻藍手,黃色南方給予城堡,黃色南方給予城堡藍夜波符超頻藍手,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符超頻藍手,"諧波47
韻律的儲存，記得均衡的優雅","第5股 第五不可抑制之道
內在的光熱
36地火明夷卦",,,,,,,,,,,,,,
188,6,韻律,8,黃星星,韻律黃星星,V10:H08,188,藍夜波符,藍夜波符韻律黃星星,黃色南方給予城堡,黃色南方給予城堡藍夜波符韻律黃星星,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符韻律黃星星,"諧波47
韻律的儲存，記得均衡的優雅","第5股 第五不可抑制之道
內在的光熱
36地火明夷卦",,,,,,,,,,,,,,
